indice_tiempo;medio_de_transporte;pais_origen;viajes_de_turistas_no_residentes
1/8/2011;Aérea;Brasil;83789
1/8/2011;Aérea;Chile;22596
1/8/2011;Aérea;Paraguay;5889
1/8/2011;Aérea;Uruguay;4973
1/8/2011;Aérea;EE.UU. y Canadá;22147
1/8/2011;Aérea;Resto de América;34159
1/8/2011;Aérea;Europa;38019
1/8/2011;Aérea;Resto del mundo;10556
1/8/2011;Fluvial/Marítima;Bolivia;3042
1/8/2011;Fluvial/Marítima;Brasil;7172
1/8/2011;Fluvial/Marítima;Chile;738
1/8/2011;Fluvial/Marítima;Paraguay;5658
1/8/2011;Fluvial/Marítima;Uruguay;29496
1/8/2011;Fluvial/Marítima;EE.UU. y Canadá;1744
1/8/2011;Fluvial/Marítima;Resto de América;5402
1/8/2011;Fluvial/Marítima;Europa;4387
1/8/2011;Fluvial/Marítima;Resto del mundo;993
1/8/2011;Terrestre;Bolivia;15136
1/8/2011;Terrestre;Brasil;19764
1/8/2011;Terrestre;Chile;29097
1/8/2011;Terrestre;Paraguay;45625
1/8/2011;Terrestre;Uruguay;21381
1/8/2011;Terrestre;EE.UU. y Canadá;1999
1/8/2011;Terrestre;Resto de América;8307
1/8/2011;Terrestre;Europa;13723
1/8/2011;Terrestre;Resto del mundo;3288
1/9/2011;Aérea;Bolivia;4546
1/9/2011;Aérea;Brasil;87222
1/9/2011;Aérea;Chile;24245
1/9/2011;Aérea;Paraguay;5979
1/9/2011;Aérea;Uruguay;6465
1/9/2011;Aérea;EE.UU. y Canadá;18634
1/9/2011;Aérea;Resto de América;36506
1/9/2011;Aérea;Europa;38124
1/9/2011;Aérea;Resto del mundo;11782
1/9/2011;Fluvial/Marítima;Bolivia;2954
1/9/2011;Fluvial/Marítima;Brasil;9488
1/9/2011;Fluvial/Marítima;Chile;998
1/9/2011;Fluvial/Marítima;Paraguay;7335
1/9/2011;Fluvial/Marítima;Uruguay;35057
1/9/2011;Fluvial/Marítima;EE.UU. y Canadá;1730
1/9/2011;Fluvial/Marítima;Resto de América;6198
1/9/2011;Fluvial/Marítima;Europa;4610
1/9/2011;Fluvial/Marítima;Resto del mundo;1170
1/9/2011;Terrestre;Bolivia;13833
1/9/2011;Terrestre;Brasil;23902
1/9/2011;Terrestre;Chile;53676
1/9/2011;Terrestre;Paraguay;44281
1/9/2011;Terrestre;Uruguay;26835
1/9/2011;Terrestre;EE.UU. y Canadá;2039
1/9/2011;Terrestre;Resto de América;9157
1/9/2011;Terrestre;Europa;12664
1/9/2011;Terrestre;Resto del mundo;4228
1/10/2011;Aérea;Bolivia;5073
1/10/2011;Aérea;Brasil;76303
1/10/2011;Aérea;Chile;28115
1/10/2011;Aérea;Paraguay;6693
1/10/2011;Aérea;Uruguay;5560
1/10/2011;Aérea;EE.UU. y Canadá;19408
1/10/2011;Aérea;Resto de América;37716
1/10/2011;Aérea;Europa;38037
1/10/2011;Aérea;Resto del mundo;13423
1/10/2011;Fluvial/Marítima;Bolivia;3548
1/10/2011;Fluvial/Marítima;Brasil;9067
1/10/2011;Fluvial/Marítima;Chile;1280
1/10/2011;Fluvial/Marítima;Paraguay;6420
1/10/2011;Fluvial/Marítima;Uruguay;36504
1/10/2011;Fluvial/Marítima;EE.UU. y Canadá;2607
1/10/2011;Fluvial/Marítima;Resto de América;6498
